id,phase,acc,delta,outcome,category,change_type,title,status
Baseline-C10,1,69.67,0.0,baseline,baseline,baseline,CIFAR-10 baseline,
H1,1,91.08,0.0,success,mlp_ffn,config,"Add CA MLP (CA_MLP_RATIO = [4.0, 4.0, 1.0]",PUSHED
H2,1,89.97,-1.1099999999999994,failure,mlp_ffn,config,"Stage-2-only CA MLP (CA_MLP_RATIO = [0, 0, 1.0]",DISCARDED
H3,1,89.95,-1.1299999999999955,failure,attention_heads,config,"Multi-head channel attention (NUM_HEADS = [1, 2, 4]",DISCARDED
H4,1,91.13,0.04999999999999716,success,depth_topology,config,"Deeper stage-2 backbone (DEPTH = [1, 2, 11]",PUSHED
H5,1,91.71,0.5799999999999983,success,mlp_ffn,config,"Larger early-stage CA MLP (CA_MLP_RATIO = [8.0, 8.0, 1.0]",PUSHED
H6,1,92.52,0.8100000000000023,success,shortcut,config,DW shortcut backbone (DW_SHORTCUT_BACKBONE = true,PUSHED
H7,1,92.98,0.46000000000000796,success,regularization,config,"Remove stochastic depth (DROP_PATH_RATE = [0,0,0]",PUSHED
H8,1,93.0,0.01999999999999602,success,training_recipe,config,Shorter warmup (WARMUP_EPOCHS = 5,PUSHED
H9,1,93.77,0.769999999999996,success,training_recipe,config,Higher learning rate (BASE_LR = 1e-3,PUSHED
H10,1,93.36,-0.4099999999999966,failure,training_recipe,config,Reduce weight decay (WEIGHT_DECAY = 0.01,DISCARDED
H11,1,93.96,0.18999999999999773,success,training_recipe,config,Push LR further (BASE_LR = 2e-3,PUSHED
H12,1,93.41,-0.5499999999999972,failure,training_recipe,config,Push LR to 4e-3 (BASE_LR = 4e-3,DISCARDED
H13,1,94.11,0.15000000000000568,success,other,config,"4-stage architecture (NUM_STAGES=4, DIM_EMBED=[64,128,256,384]",PUSHED
H14,1,93.98,-0.12999999999999545,failure,depth_topology,config,"4-stage with stage-3 stride=1 (14×14 spatial, PATCH_STRIDE=[4,2,2,1]",DISCARDED
H15,1,93.79,-0.3199999999999932,failure,depth_topology,config,"Reallocate depth: 1 stage-1 block → 1 stage-3 block (DEPTH=[1,1,3,8]",DISCARDED
H16,1,93.84,-0.269999999999996,failure,training_recipe,config,Re-tune LR for 4-stage model (BASE_LR = 3e-3,DISCARDED
H17,1,93.39,-0.7199999999999989,failure,kernel_size,config,"Larger QKV kernel in stages 0-2 (KERNEL_QKV=[5,5,5,3]",DISCARDED
H18,1,93.47,-0.6400000000000006,failure,patch_embed,config,"dw_sep patch embedding at all 4 stages (PATCH_EMBED_METHOD=['dw_sep','dw_sep','dw_sep','dw_sep']",DISCARDED
H19,1,93.55,-0.5600000000000023,failure,depth_topology,config,"Deeper stage 0 (DEPTH=[2,2,3,7]",DISCARDED
H20,1,93.68,-0.4299999999999926,failure,mlp_ffn,config,"DEPTH=[1,2,3,8] + CA_MLP_RATIO=[8,8,3.3,1] (stage-3 depth vs stage-2 MLP tradeoff",DISCARDED
H21,1,94.79,0.6800000000000068,success,augmentation,config,"Disable Mixup+CutMix (AUG.MIXUP=0, AUG.CUTMIX=0",PUSHED
H22,1,94.24,-0.5500000000000114,failure,augmentation,config,"Disable all DeiT augmentation (no RandAugment, no RandomErase, no Mixup, no CutMix",DISCARDED
H23,1,94.92,0.12999999999999545,success,augmentation,config,Disable label smoothing (MODEL.LABEL_SMOOTHING=0.0,PUSHED
H24,1,94.71,-0.21000000000000796,failure,augmentation,config,Reduce RandomErase probability (REPROB=0.1,DISCARDED
H25,1,94.96,0.03999999999999204,success,regularization,config,"Mild drop path in deepest stage (DROP_PATH_RATE=[0,0,0,0.05]",PUSHED
H26,1,94.84,-0.11999999999999034,failure,depth_topology,config,Redistribute depth,DISCARDED
H27,1,95.06,0.10000000000000853,success,training_recipe,config,Longer warmup (WARMUP_EPOCHS=10,PUSHED
H28,1,94.99,-0.07000000000000739,failure,training_recipe,config,Even longer warmup (WARMUP_EPOCHS=15,DISCARDED
H29,1,95.09,0.030000000000001137,success,regularization,config,"Progressive drop path [0, 0.01, 0.02, 0.05]",PUSHED
H30,1,95.1,0.009999999999990905,success,normalisation,code,"Layer Scale (CaiT-style, init=1e-4",PUSHED
H31,1,94.98,-0.11999999999999034,failure,other,config,"Attention dropout in stage 3 (ATTN_DROP_RATE=[0,0,0,0.1]",DISCARDED
H32,1,95.09,-0.009999999999990905,failure,mlp_ffn,config,DW shortcut placed between attention and MLP (DW_SHORTCUT_AFTER_FIRST_RESIDUAL=true,DISCARDED
H33,1,94.91,-0.18999999999999773,failure,activation,config,SiLU (Swish) activation instead of GELU,DISCARDED
H34,1,94.99,-0.10999999999999943,failure,training_recipe,config,Higher weight decay (WEIGHT_DECAY=0.1,DISCARDED
H35,1,95.03,-0.06999999999999318,failure,augmentation,config,Lighter RandAugment (rand-m7,DISCARDED
H36,1,94.79,-0.30999999999998806,failure,depth_topology,config,"More depth at stage 0 (DEPTH=[2,2,3,7]",DISCARDED
H37,1,94.83,-0.269999999999996,failure,augmentation,config,Light Mixup (MIXUP=0.2,DISCARDED
H38,1,94.8,-0.29999999999999716,failure,patch_embed,config,"All-dw_sep patch embedding (['dw_sep','dw_sep','dw_sep','dw_sep']",DISCARDED
H39,1,94.03,-1.0699999999999932,failure,other,config,Deep pure CA,DISCARDED
H40,1,94.74,-0.35999999999999943,failure,other,config,AdamW β₂=0.98,DISCARDED
H41,1,94.98,-0.11999999999999034,failure,normalisation,config,Layer Scale init=1e-5,DISCARDED
H42,1,94.22,-0.8799999999999955,failure,normalisation,code,QK-Normalize (L2-normalize Q and K before dot product,DISCARDED
H43,1b,94.97,-0.12999999999999545,failure,position_encoding,code,Learnable Channel Pair Bias (CPB,DISCARDED
H46,1b,95.7,0.6000000000000085,success,attention_heads,code,Auxiliary deep supervision at stage 2 (intermediate classifier head,PUSHED
H47,1b,95.82,0.11999999999999034,success,other,code,Per-stage learned attention temperature (log-parameterized scalar τ,PUSHED
H48,1b,95.75,-0.06999999999999318,failure,attention_variant,code,"Gated attention output (scalar sigmoid gate, channel mode",DISCARDED
H49,1b,95.71,-0.10999999999999943,failure,shortcut,config,"Larger DW shortcuts (5×5 kernels, uniform across all stages",DISCARDED
H50,1b,95.85,0.030000000000001137,success,aux_supervision,code,Dual auxiliary deep supervision at stages 1 and 2,PUSHED
H51,1b,95.95,0.10000000000000853,success,position_encoding,code,Convolutional Position Encoding (CPE) at each stage,PUSHED
H52,1b,96.11,0.1599999999999966,success,position_encoding,code,Larger CPE kernel (5×5,PUSHED
H53,1b,95.85,-0.2600000000000051,failure,position_encoding,code,CPE with 7×7 kernel,DISCARDED
H54,1b,96.23,0.12000000000000455,success,mlp_ffn,code,SwiGLU MLP (replace GELU with SwiGLU gate in CA MLP blocks,PUSHED
